1628,15,954892800
408,42,957225600
343,8,957398400
1628,5,963273600
441,10,986256000
441,9,988156800
1472,53,993772800
439,8,1024790400
1282,68,1032480000
439,62,1038614400
1628,62,1039824000
944,52,1047340800
439,64,1049241600
1291,62,1050883200
1291,32,1056499200
1291,33,1056499200
1019,42,1058140800
343,16,1060128000
1109,27,1060214400
853,6,1078099200
797,16,1079222400
1042,63,1086912000
756,53,1089676800
790,101,1094083200
664,60,1094601600
664,62,1094601600
1122,15,1105920000
797,15,1110326400
1049,62,1113264000
1049,32,1113264000
1049,59,1113868800
1049,27,1113868800
333,149,1120176000
514,31,1121817600
1260,59,1122508800
1260,32,1122768000
1555,62,1124409600
541,106,1124668800
325,16,1125792000
541,61,1126915200
541,59,1126915200
541,52,1126915200
541,62,1134345600
1575,35,1139961600
182,36,1141603200
1188,63,1141776000
1188,31,1141776000
194,32,1143849600
194,62,1148256000
137,84,1148342400
1349,23,1148947200
683,150,1149033600
873,81,1149811200
1109,32,1149897600
376,242,1150070400
376,243,1150070400
819,148,1150416000
683,148,1151107200
683,100,1151712000
867,179,1151884800
194,156,1151884800
501,6,1152748800
867,62,1153008000
501,353,1153180800
683,102,1153699200
236,68,1153785600
501,61,1154217600
1575,124,1154649600
1121,127,1155340800
960,179,1157760000
1667,213,1157932800
340,129,1160611200
1169,179,1161043200
1253,107,1161561600
1001,31,1163030400
731,72,1163203200
796,11,1164240000
1291,60,1164672000
1155,117,1165536000
683,72,1165536000
1370,58,1167436800
1271,27,1168300800
730,62,1168473600
730,106,1168560000
974,84,1169164800
1298,205,1169856000
1019,122,1170460800
1083,179,1171670400
506,53,1172188800
790,179,1172361600
1406,144,1173139200
596,150,1174521600
596,101,1174521600
1122,68,1175385600
337,50,1176940800
1656,16,1177372800
519,66,1177545600
331,107,1177977600
731,8,1178323200
850,31,1178409600
850,59,1178409600
1199,66,1179014400
511,143,1179187200
596,146,1179187200
514,72,1179360000
701,104,1179705600
1291,220,1180051200
947,102,1180137600
1049,60,1180396800
1643,102,1180569600
470,104,1181001600
1627,79,1181001600
1488,96,1181174400
514,102,1181260800
1500,87,1181347200
1338,61,1181606400
1338,62,1181606400
1338,636,1181606400
1338,60,1181606400
1129,179,1181865600
1034,235,1182470400
1034,199,1182470400
1034,42,1182470400
1034,236,1182470400
1034,48,1182470400
325,62,1182643200
1627,483,1182729600
38,72,1182729600
1049,29,1182816000
45,53,1183161600
1656,5,1183420800
912,156,1184112000
879,102,1184284800
1475,194,1184371200
441,316,1184803200
325,31,1185062400
3,81,1185321600
1188,62,1185753600
791,219,1186099200
176,51,1186444800
1556,100,1187308800
1556,102,1187308800
1323,414,1187308800
228,37,1188000000
1199,62,1188000000
1370,96,1188000000
1300,107,1188172800
238,242,1189036800
284,102,1189382400
248,100,1190160000
1221,173,1190160000
792,47,1190419200
1151,133,1190419200
1151,134,1190419200
792,44,1190419200
792,76,1190505600
709,155,1190505600
400,87,1190592000
1444,199,1191110400
1323,94,1191974400
284,133,1192752000
519,36,1193875200
284,101,1193961600
677,66,1194048000
363,288,1194307200
1370,66,1195171200
544,150,1195257600
84,61,1195430400
313,73,1195862400
313,146,1195862400
313,264,1195862400
1121,236,1195948800
323,31,1196553600
827,360,1197676800
27,160,1198713600
1281,60,1200182400
145,112,1200700800
1633,133,1200787200
1493,360,1200873600
287,53,1200960000
138,133,1202428800
1059,199,1203465600
542,102,1204329600
859,107,1205107200
859,101,1205107200
800,242,1205366400
1159,243,1205625600
236,23,1205798400
1665,243,1206662400
1399,319,1207267200
1060,58,1207440000
1503,42,1207526400
588,64,1207785600
719,79,1207872000
998,81,1208390400
363,177,1208390400
459,291,1208476800
458,58,1208649600
1338,438,1208736000
1653,316,1208995200
1125,161,1209081600
176,5,1209081600
947,86,1209168000
859,61,1209254400
378,14,1209340800
796,160,1209772800
502,218,1210204800
1653,107,1210204800
1637,64,1210204800
1634,29,1210377600
1627,81,1210723200
1469,388,1210896000
1469,59,1210896000
58,264,1211155200
859,179,1211155200
459,398,1211241600
1068,388,1211241600
859,58,1211846400
506,65,1211932800
1469,27,1211932800
842,16,1212019200
67,16,1212192000
95,398,1212364800
502,213,1212451200
276,330,1212796800
1387,219,1212969600
1469,61,1213056000
1469,389,1213056000
1258,254,1213228800
1469,391,1213401600
791,126,1213488000
27,71,1213660800
850,83,1213833600
502,100,1213920000
977,16,1214006400
1640,395,1214179200
731,372,1214438400
287,384,1214611200
1672,443,1214611200
464,112,1214697600
286,62,1214697600
313,238,1214870400
313,256,1214870400
340,187,1215388800
970,388,1215388800
970,32,1215388800
970,11,1215388800
1130,129,1216598400
738,371,1216598400
859,75,1216944000
595,84,1217030400
1327,57,1217116800
827,403,1217203200
966,104,1217376000
